iter	Passed	Remaining
414	2791	3935
415	2797	3927
416	2802	3918
417	2808	3910
418	2814	3902
419	2819	3893
420	2824	3885
421	2830	3877
422	2835	3868
423	2842	3861
424	2850	3856
425	2857	3850
426	2867	3847
427	2875	3843
428	2887	3843
429	2897	3841
430	2908	3840
431	2916	3834
432	2923	3827
433	2929	3820
434	2934	3811
435	2940	3803
436	2945	3795
437	2951	3786
438	2957	3778
439	2962	3770
440	2968	3762
441	2973	3753
442	2979	3745
443	2984	3737
444	2990	3729
445	2996	3721
446	3001	3712
447	3006	3704
448	3012	3696
449	3018	3688
450	3024	3681
451	3029	3673
452	3035	3665
453	3040	3656
454	3045	3648
455	3051	3640
456	3056	3631
457	3061	3623
458	3067	3615
459	3073	3608
460	3079	3600
461	3084	3592
462	3090	3584
463	3095	3576
464	3101	3568
465	3107	3560
466	3113	3553
467	3118	3544
468	3123	3536
469	3129	3528
470	3134	3520
471	3140	3512
472	3145	3505
473	3151	3497
474	3158	3491
475	3164	3483
476	3170	3475
477	3175	3467
478	3181	3459
479	3186	3452
480	3192	3444
481	3197	3436
482	3203	3429
483	3210	3422
484	3216	3415
485	3222	3408
486	3227	3400
487	3233	3392
488	3239	3385
489	3245	3378
490	3251	3370
491	3256	3362
492	3262	3354
493	3268	3347
494	3273	3339
495	3279	3332
496	3285	3324
497	3290	3316
498	3295	3308
499	3300	3300
500	3306	3293
501	3312	3286
502	3318	3278
503	3323	3270
504	3329	3263
505	3334	3255
506	3340	3247
507	3345	3240
508	3351	3232
509	3357	3225
510	3362	3217
511	3367	3209
512	3373	3202
513	3379	3195
514	3384	3187
515	3390	3180
516	3395	3172
517	3401	3165
518	3407	3158
519	3414	3152
520	3421	3145
521	3429	3140
522	3440	3137
523	3447	3132
524	3454	3125
525	3463	3120
526	3472	3116
527	3480	3111
528	3489	3106
529	3499	3103
530	3510	3100
531	3518	3095
532	3525	3088
533	3532	3082
534	3538	3075
535	3544	3068
536	3550	3060
537	3555	3053
538	3561	3045
539	3567	3038
540	3572	3031
541	3577	3023
542	3583	3016
543	3589	3008
544	3594	3000
545	3600	2993
546	3605	2986
547	3611	2979
548	3617	2971
549	3622	2963
550	3627	2956
551	3633	2949
552	3638	2941
553	3644	2934
554	3649	2926
555	3654	2918
556	3660	2911
557	3665	2903
558	3671	2896
559	3677	2889
560	3683	2882
561	3692	2877
562	3698	2870
563	3706	2864
564	3712	2858
565	3719	2852
566	3725	2844
567	3730	2837
568	3737	2830
569	3742	2823
570	3749	2816
571	3754	2809
572	3760	2802
573	3766	2795
574	3772	2788
575	3778	2781
576	3783	2774
577	3789	2767
578	3795	2759
579	3801	2752
580	3806	2745
581	3812	2738
582	3818	2731
583	3823	2723
584	3828	2715
585	3834	2708
586	3839	2701
587	3844	2694
588	3850	2686
589	3855	2679
590	3862	2673
591	3868	2665
592	3874	2659
593	3880	2652
594	3887	2646
595	3896	2641
596	3908	2638
597	3916	2632
598	3927	2629
599	3936	2624
600	3944	2619
601	3951	2612
602	3957	2605
603	3963	2598
604	3968	2590
605	3973	2583
606	3979	2576
607	3985	2569
608	3991	2562
609	3997	2555
610	4003	2548
611	4008	2541
612	4014	2534
613	4019	2527
614	4025	2520
615	4031	2513
616	4036	2505
617	4043	2499
618	4049	2492
619	4054	2485
620	4060	2478
621	4066	2471
622	4072	2464
623	4077	2457
624	4082	2449
625	4088	2442
626	4094	2435
627	4099	2428
628	4105	2421
629	4110	2414
630	4116	2407
631	4122	2400
632	4127	2392
633	4133	2385
634	4138	2378
635	4143	2371
636	4149	2364
637	4154	2357
638	4160	2350
639	4166	2343
640	4171	2336
641	4177	2329
642	4182	2322
643	4188	2315
644	4194	2308
645	4200	2301
646	4206	2294
647	4211	2287
648	4217	2280
649	4222	2273
650	4228	2266
651	4235	2260
652	4242	2254
653	4248	2247
654	4254	2240
655	4260	2233
656	4265	2226
657	4270	2219
658	4276	2212
659	4282	2205
660	4287	2198
661	4293	2192
662	4299	2185
663	4305	2178
664	4311	2171
665	4316	2164
666	4322	2158
667	4327	2150
668	4333	2144
669	4339	2137
670	4344	2130
671	4350	2123
672	4355	2116
673	4361	2109
674	4366	2102
675	4371	2095
676	4377	2088
677	4382	2081
678	4388	2074
679	4394	2067
680	4399	2060
681	4404	2053
682	4410	2047
683	4416	2040
684	4421	2033
685	4427	2026
686	4432	2019
687	4438	2012
688	4444	2005
689	4449	1999
690	4456	1992
691	4462	1986
692	4468	1979
693	4474	1973
694	4482	1966
695	4488	1960
696	4494	1953
697	4505	1949
698	4518	1945
699	4529	1941
700	4541	1937
701	4555	1933
702	4563	1927
703	4569	1921
704	4575	1914
705	4580	1907
706	4586	1900
707	4591	1893
708	4597	1886
709	4602	1880
710	4608	1873
711	4613	1866
712	4619	1859
713	4624	1852
714	4630	1845
715	4635	1838
716	4641	1832
717	4646	1825
718	4652	1818
719	4657	1811
720	4662	1804
721	4668	1797
722	4673	1790
723	4679	1783
724	4684	1777
725	4690	1770
726	4697	1763
727	4705	1758
728	4712	1751
729	4719	1745
730	4725	1739
731	4732	1732
732	4739	1726
733	4745	1719
734	4751	1713
735	4757	1706
736	4762	1699
737	4768	1692
738	4774	1686
739	4781	1679
740	4787	1673
741	4792	1666
742	4797	1659
743	4803	1652
744	4809	1646
745	4814	1639
746	4819	1632
747	4825	1625
748	4831	1618
749	4836	1612
750	4842	1605
751	4847	1598
752	4853	1591
753	4858	1585
754	4864	1578
755	4870	1571
756	4875	1565
757	4884	1559
758	4890	1552
759	4896	1546
760	4901	1539
761	4907	1532
762	4913	1526
763	4920	1520
764	4928	1513
765	4938	1508
766	4949	1503
767	4957	1497
768	4965	1491
769	4971	1485
770	4977	1478
771	4983	1471
772	4988	1465
773	4994	1458
774	5000	1451
775	5005	1444
776	5011	1438
777	5016	1431
778	5021	1424
779	5027	1417
780	5032	1411
781	5038	1404
782	5044	1397
783	5049	1391
784	5054	1384
785	5060	1377
786	5065	1371
787	5071	1364
788	5077	1357
789	5082	1351
790	5088	1344
791	5093	1337
792	5098	1330
793	5104	1324
794	5109	1317
795	5114	1310
796	5120	1304
797	5125	1297
798	5131	1290
799	5137	1284
800	5142	1277
801	5148	1270
802	5153	1264
803	5159	1257
804	5164	1251
805	5170	1244
806	5176	1238
807	5182	1231
808	5188	1224
809	5193	1218
810	5198	1211
811	5203	1204
812	5209	1198
813	5214	1191
814	5220	1185
815	5226	1178
816	5231	1171
817	5237	1165
818	5242	1158
819	5249	1152
820	5254	1145
821	5260	1139
822	5266	1132
823	5272	1126
824	5277	1119
825	5283	1112
826	5289	1106
827	5294	1099
828	5299	1093
829	5305	1086
830	5310	1080
831	5316	1073
832	5322	1066
833	5327	1060
834	5333	1053
835	5338	1047
836	5344	1040
837	5349	1034
838	5355	1027
839	5360	1021
840	5366	1014
841	5371	1008
842	5377	1001
843	5383	995
844	5388	988
845	5394	981
846	5399	975
847	5404	968
848	5410	962
849	5415	955
850	5420	949
851	5426	942
852	5431	935
853	5437	929
854	5442	923
855	5448	916
856	5455	910
857	5460	903
858	5467	897
859	5474	891
860	5481	884
861	5488	878
862	5496	872
863	5503	866
864	5509	859
865	5516	853
866	5521	847
867	5527	840
868	5533	834
869	5541	828
870	5549	821
871	5559	816
872	5565	809
873	5572	803
874	5586	798
875	5608	793
876	5616	787
877	5623	781
878	5630	775
879	5636	768
880	5642	762
881	5647	755
882	5653	749
883	5659	742
884	5665	736
885	5671	729
886	5677	723
887	5683	716
888	5688	710
889	5694	703
890	5699	697
891	5706	690
892	5712	684
893	5718	678
894	5725	671
895	5731	665
896	5738	658
897	5744	652
898	5751	646
899	5758	639
900	5765	633
901	5771	627
902	5777	620
903	5783	614
904	5788	607
905	5794	601
906	5800	594
907	5806	588
908	5811	581
909	5817	575
910	5823	568
911	5828	562
912	5834	555
913	5840	549
914	5845	543
915	5851	536
916	5856	530
917	5862	523
918	5868	517
919	5874	510
920	5880	504
921	5885	497
922	5891	491
923	5896	485
924	5902	478
925	5908	472
926	5915	465
927	5921	459
928	5928	453
929	5934	446
930	5941	440
931	5947	433
932	5954	427
933	5967	421
934	5973	415
935	5983	409
936	5989	402
937	5997	396
938	6003	389
939	6009	383
940	6014	377
941	6020	370
942	6025	364
943	6031	357
944	6036	351
945	6042	344
946	6047	338
947	6053	332
948	6058	325
949	6064	319
950	6070	312
951	6075	306
952	6081	299
953	6087	293
954	6093	287
955	6098	280
956	6104	274
957	6110	267
958	6115	261
959	6121	255
960	6126	248
961	6132	242
962	6138	235
963	6143	229
964	6149	223
965	6155	216
966	6163	210
967	6169	203
968	6175	197
969	6180	191
970	6186	184
971	6192	178
972	6198	172
973	6204	165
974	6210	159
975	6216	152
976	6222	146
977	6227	140
978	6233	133
979	6239	127
980	6246	120
981	6253	114
982	6259	108
983	6265	101
984	6272	95
985	6278	89
986	6284	82
987	6290	76
988	6296	70
989	6301	63
990	6307	57
991	6312	50
992	6318	44
993	6324	38
994	6329	31
995	6335	25
996	6340	19
997	6346	12
998	6352	6
999	6358	0
